variable,regressor,regressor__n_neighbors,pca,scaler,regressor__weights,regressor__metric,score,std
dwi_sin,KNeighborsRegressor,15,None,RobustScaler,uniform,chebyshev,-0.50488548,0.06514743
dwi_sin,KNeighborsRegressor,15,None,RobustScaler,distance,euclidean,-0.49529994,0.05276477
dwi_sin,KNeighborsRegressor,15,None,RobustScaler,distance,manhattan,-0.50124544,0.0605758
dwi_sin,KNeighborsRegressor,15,None,RobustScaler,distance,chebyshev,-0.50430623,0.06464955
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),None,uniform,euclidean,-0.4873863,0.05381251
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),None,uniform,manhattan,-0.49128895,0.06319719
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),None,uniform,chebyshev,-0.49508185,0.06327886
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),None,distance,euclidean,-0.48613221,0.05380772
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),None,distance,manhattan,-0.49033903,0.06288756
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),None,distance,chebyshev,-0.49424546,0.06344738
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),StandardScaler,uniform,euclidean,-0.4931802,0.05215904
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),StandardScaler,uniform,manhattan,-0.5026625,0.06059433
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),StandardScaler,uniform,chebyshev,-0.52353505,0.06394246
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),StandardScaler,distance,euclidean,-0.49221257,0.05149324
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),StandardScaler,distance,manhattan,-0.50226058,0.06041396
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),StandardScaler,distance,chebyshev,-0.52233407,0.06406857
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),RobustScaler,uniform,euclidean,-0.48516091,0.05105786
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),RobustScaler,uniform,manhattan,-0.49369625,0.06203903
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),RobustScaler,uniform,chebyshev,-0.51520442,0.06090545
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),RobustScaler,distance,euclidean,-0.48384886,0.0510092
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),RobustScaler,distance,manhattan,-0.49285109,0.0618503
dwi_sin,KNeighborsRegressor,15,PCA(n_components=0.95),RobustScaler,distance,chebyshev,-0.51321901,0.06156186
dwi_sin,KNeighborsRegressor,20,None,None,uniform,euclidean,-0.482126,0.0518298
dwi_sin,KNeighborsRegressor,20,None,None,uniform,manhattan,-0.48721682,0.06341558
dwi_sin,KNeighborsRegressor,20,None,None,uniform,chebyshev,-0.49802831,0.06403282
dwi_sin,KNeighborsRegressor,20,None,None,distance,euclidean,-0.4806632,0.05151018
dwi_sin,KNeighborsRegressor,20,None,None,distance,manhattan,-0.48649753,0.0631875
dwi_sin,KNeighborsRegressor,20,None,None,distance,chebyshev,-0.49646832,0.06402278
dwi_sin,KNeighborsRegressor,20,None,StandardScaler,uniform,euclidean,-0.47798474,0.0538748
dwi_sin,KNeighborsRegressor,20,None,StandardScaler,uniform,manhattan,-0.48395536,0.06445024
dwi_sin,KNeighborsRegressor,20,None,StandardScaler,uniform,chebyshev,-0.49369239,0.0633539
