variable,regressor__n_estimators,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,regressor__max_features,score,std,regressor
wind_max,300,20.0,2,4,log2,-2.32190297,0.36815109,RandomForestRegressor
wind_max,300,20.0,10,1,sqrt,-2.31864125,0.36686633,RandomForestRegressor
wind_max,300,20.0,10,1,log2,-2.32049732,0.37094929,RandomForestRegressor
wind_max,300,20.0,10,4,sqrt,-2.31958313,0.37167605,RandomForestRegressor
wind_max,300,20.0,10,4,log2,-2.3130162,0.37165103,RandomForestRegressor
wind_max,400,None,2,1,sqrt,-2.33377082,0.36380316,RandomForestRegressor
wind_max,400,None,2,1,log2,-2.33015412,0.37171592,RandomForestRegressor
wind_max,400,None,2,4,sqrt,-2.33194152,0.36819645,RandomForestRegressor
wind_max,400,None,2,4,log2,-2.33038312,0.36324879,RandomForestRegressor
wind_max,400,None,10,1,sqrt,-2.3387503,0.3672188,RandomForestRegressor
wind_max,400,None,10,1,log2,-2.33293646,0.3703775,RandomForestRegressor
wind_max,400,None,10,4,sqrt,-2.3270284,0.36394472,RandomForestRegressor
wind_max,400,None,10,4,log2,-2.32871206,0.35985185,RandomForestRegressor
wind_max,400,20.0,2,1,sqrt,-2.32703424,0.36286116,RandomForestRegressor
wind_max,400,20.0,2,1,log2,-2.33014395,0.3582332,RandomForestRegressor
wind_max,400,20.0,2,4,sqrt,-2.3256749,0.36105131,RandomForestRegressor
wind_max,400,20.0,2,4,log2,-2.32354547,0.3591314,RandomForestRegressor
wind_max,400,20.0,10,1,sqrt,-2.32355242,0.36312154,RandomForestRegressor
wind_max,400,20.0,10,1,log2,-2.32254733,0.37524251,RandomForestRegressor
wind_max,400,20.0,10,4,sqrt,-2.32229175,0.37474005,RandomForestRegressor
wind_max,400,20.0,10,4,log2,-2.33008195,0.37099772,RandomForestRegressor
wind_max,500,None,2,1,sqrt,-2.32174658,0.37049096,RandomForestRegressor
wind_max,500,None,2,1,log2,-2.32654351,0.36783973,RandomForestRegressor
wind_max,500,None,2,4,sqrt,-2.31845223,0.36595445,RandomForestRegressor
wind_max,500,None,2,4,log2,-2.31883744,0.36574282,RandomForestRegressor
wind_max,500,None,10,1,sqrt,-2.32106429,0.36336853,RandomForestRegressor
wind_max,500,None,10,1,log2,-2.32046167,0.36493611,RandomForestRegressor
wind_max,500,None,10,4,sqrt,-2.3202158,0.36609577,RandomForestRegressor
wind_max,500,None,10,4,log2,-2.32011283,0.3627533,RandomForestRegressor
wind_max,500,20.0,2,1,sqrt,-2.32406544,0.36103297,RandomForestRegressor
wind_max,500,20.0,2,1,log2,-2.32833068,0.3705685,RandomForestRegressor
wind_max,500,20.0,2,4,sqrt,-2.33117572,0.36711779,RandomForestRegressor
