variable,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,regressor__min_samples_leaf,regressor__subsample,regressor__max_features,score,std
dwi_cos,400,0.1,5.0,10,1.0,sqrt,-0.41888248,0.03625768
dwi_cos,400,0.1,5.0,10,1.0,log2,-0.42005651,0.03575623
dwi_cos,400,0.1,5.0,10,0.8,sqrt,-0.41636444,0.03631832
dwi_cos,400,0.1,5.0,10,0.8,log2,-0.41774691,0.03666046
dwi_cos,400,0.1,5.0,20,1.0,sqrt,-0.4174863,0.03755937
dwi_cos,400,0.1,5.0,20,1.0,log2,-0.41958695,0.03780118
dwi_cos,400,0.1,5.0,20,0.8,sqrt,-0.41719349,0.03415813
dwi_cos,400,0.1,5.0,20,0.8,log2,-0.42018237,0.03476388
dwi_cos,500,0.05,None,10,1.0,sqrt,-0.41384591,0.03751627
dwi_cos,500,0.05,None,10,1.0,log2,-0.41245286,0.0365535
dwi_cos,500,0.05,None,10,0.8,sqrt,-0.41448522,0.03746478
dwi_cos,500,0.05,None,10,0.8,log2,-0.41613454,0.0375699
dwi_cos,500,0.05,None,20,1.0,sqrt,-0.41408352,0.03811015
dwi_cos,500,0.05,None,20,1.0,log2,-0.41518279,0.03486506
dwi_cos,500,0.05,None,20,0.8,sqrt,-0.41510797,0.03561462
dwi_cos,500,0.05,None,20,0.8,log2,-0.4159818,0.03833677
dwi_cos,500,0.05,5.0,10,1.0,sqrt,-0.4115446,0.03505904
dwi_cos,500,0.05,5.0,10,1.0,log2,-0.41224624,0.03695493
dwi_cos,500,0.05,5.0,10,0.8,sqrt,-0.41059525,0.03948666
dwi_cos,500,0.05,5.0,10,0.8,log2,-0.41172449,0.03757666
dwi_cos,500,0.05,5.0,20,1.0,sqrt,-0.41173234,0.03776093
dwi_cos,500,0.05,5.0,20,1.0,log2,-0.41232375,0.03670862
dwi_cos,500,0.05,5.0,20,0.8,sqrt,-0.41161455,0.03738591
dwi_cos,500,0.05,5.0,20,0.8,log2,-0.41316071,0.03703031
dwi_cos,500,0.1,None,10,1.0,sqrt,-0.41762316,0.03667205
dwi_cos,500,0.1,None,10,1.0,log2,-0.42527004,0.03614535
dwi_cos,500,0.1,None,10,0.8,sqrt,-0.41672178,0.03748668
dwi_cos,500,0.1,None,10,0.8,log2,-0.42118012,0.03515383
dwi_cos,500,0.1,None,20,1.0,sqrt,-0.41542954,0.03462167
dwi_cos,500,0.1,None,20,1.0,log2,-0.4238806,0.03486435
dwi_cos,500,0.1,None,20,0.8,sqrt,-0.41598852,0.0360726
dwi_cos,500,0.1,None,20,0.8,log2,-0.42678555,0.03815307
dwi_cos,500,0.1,5.0,10,1.0,sqrt,-0.41818383,0.03498425
dwi_cos,500,0.1,5.0,10,1.0,log2,-0.42118945,0.0344986
dwi_cos,500,0.1,5.0,10,0.8,sqrt,-0.41730331,0.03549606
dwi_cos,500,0.1,5.0,10,0.8,log2,-0.42116037,0.03601473
dwi_cos,500,0.1,5.0,20,1.0,sqrt,-0.41933455,0.03521534
dwi_cos,500,0.1,5.0,20,1.0,log2,-0.42001763,0.03764272
