variable,source_file,regressor,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,score,std
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,2,-2.53025677,0.43464484
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,4,-2.53601445,0.40614274
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,1,-2.50825913,0.4281774
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,2,-2.49071893,0.43559936
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,4,-2.48506629,0.42827277
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,1,-2.4843553,0.44771255
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,2,-2.46596363,0.42487455
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,4,-2.44466215,0.41657613
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,1,-2.82996182,0.34440403
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,2,-2.80017162,0.34898482
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,4,-2.73226637,0.36931522
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,1,-2.66367573,0.36394453
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,2,-2.75579158,0.33881357
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,4,-2.74106416,0.36036837
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,1,-2.70626912,0.37518614
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,2,-2.65217849,0.39180424
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,4,-2.67109485,0.34208845
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,1,-2.67045617,0.35683348
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,2,-2.65961515,0.35512642
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,4,-2.60323705,0.35296687
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,1,-2.85652262,0.34734888
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,2,-2.85614567,0.38110199
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,4,-2.7679053,0.34467475
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,1,-2.66275455,0.37123023
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,2,-2.75313026,0.36430301
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,4,-2.76984677,0.34933215
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,1,-2.7173155,0.34985803
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,2,-2.64436479,0.39997109
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,4,-2.67802862,0.36201754
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,1,-2.6709525,0.35446013
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,2,-2.67224862,0.3458843
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,4,-2.60975317,0.35063437
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,1,-1.28988434,0.4704464
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,2,-1.26085343,0.45437462
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,4,-1.2358569,0.43892333
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,1,-1.28407057,0.47978391
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,2,-1.20055948,0.4309533
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,4,-1.22610303,0.48461947
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,1,-1.19475401,0.48396387
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,2,-1.2124146,0.50241547
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,4,-1.20774126,0.46518968
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,1,-1.21357278,0.47128471
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,2,-1.19471475,0.46649761
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,4,-1.14714438,0.4608589
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,1,-1.05237742,0.52385021
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,2,-1.03823114,0.51116915
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,4,-1.03898846,0.50423253
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,1,-1.05946016,0.51807612
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,2,-1.03397239,0.48977641
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,4,-1.03467811,0.49600697
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,1,-1.05270735,0.51168497
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,2,-1.04686029,0.4944377
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,4,-1.06599909,0.5221318
shww_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,1,-1.07288447,0.53891543
