variable,scaler,regressor__hidden_layers,regressor__activation,regressor__lr,regressor__epochs,regressor__batch_size,score,std
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.01,100,32,-0.54967397,0.06451156
dwi_sin,None,"(50, 20, 10)",ReLU,0.0005,50,16,-0.48369565,0.05465574
dwi_sin,None,"(50, 20, 10)",ReLU,0.0005,50,32,-0.51938361,0.07403135
dwi_sin,None,"(50, 20, 10)",ReLU,0.0005,100,16,-0.48727056,0.05235542
dwi_sin,None,"(50, 20, 10)",ReLU,0.0005,100,32,-0.52139305,0.06662081
dwi_sin,None,"(50, 20, 10)",ReLU,0.001,50,16,-0.48027834,0.05306418
dwi_sin,None,"(50, 20, 10)",ReLU,0.001,50,32,-0.50605758,0.05644126
dwi_sin,None,"(50, 20, 10)",ReLU,0.001,100,16,-0.4943708,0.06207645
dwi_sin,None,"(50, 20, 10)",ReLU,0.001,100,32,-0.54400884,0.07272962
dwi_sin,None,"(50, 20, 10)",ReLU,0.01,50,16,-0.51512919,0.04458531
dwi_sin,None,"(50, 20, 10)",ReLU,0.01,50,32,-0.54486958,0.06052895
dwi_sin,None,"(50, 20, 10)",ReLU,0.01,100,16,-0.48885229,0.04608365
dwi_sin,None,"(50, 20, 10)",ReLU,0.01,100,32,-0.51757007,0.0703046
dwi_sin,None,"(50, 20, 10)",Tanh,0.0005,50,16,-0.47826974,0.05146967
